GeoFIPS,GeoName,Region,Description,2016,2017,2018,2019,2020
" ""13297""","Walton, GA",5.0,Per capita personal income (dollars) 2/,37392.0,39072.0,40616.0,43063.0,46020.0
" ""13299""","Ware, GA",5.0,Per capita personal income (dollars) 2/,31200.0,32175.0,32668.0,33268.0,36387.0
" ""13301""","Warren, GA",5.0,Per capita personal income (dollars) 2/,31637.0,32792.0,34200.0,35624.0,40135.0
" ""13303""","Washington, GA",5.0,Per capita personal income (dollars) 2/,32699.0,34192.0,34840.0,35161.0,39947.0
" ""13305""","Wayne, GA",5.0,Per capita personal income (dollars) 2/,28526.0,29682.0,31165.0,32359.0,34891.0
" ""13307""","Webster, GA",5.0,Per capita personal income (dollars) 2/,32048.0,34070.0,34635.0,37805.0,40094.0
" ""13309""","Wheeler, GA",5.0,Per capita personal income (dollars) 2/,18147.0,19021.0,19052.0,19694.0,22481.0
" ""13311""","White, GA",5.0,Per capita personal income (dollars) 2/,35178.0,37350.0,38700.0,40498.0,43656.0
" ""13313""","Whitfield, GA",5.0,Per capita personal income (dollars) 2/,35776.0,36279.0,38526.0,40194.0,42985.0
" ""13315""","Wilcox, GA",5.0,Per capita personal income (dollars) 2/,24793.0,26468.0,26191.0,28125.0,28723.0
" ""13317""","Wilkes, GA",5.0,Per capita personal income (dollars) 2/,38073.0,40215.0,40780.0,41580.0,42700.0
" ""13319""","Wilkinson, GA",5.0,Per capita personal income (dollars) 2/,33493.0,34034.0,35155.0,36003.0,39585.0
" ""13321""","Worth, GA",5.0,Per capita personal income (dollars) 2/,30757.0,31977.0,33134.0,35033.0,38123.0
" ""26001""","Alcona, MI",3.0,Per capita personal income (dollars) 2/,35241.0,37377.0,39566.0,41335.0,45685.0
" ""26003""","Alger, MI",3.0,Per capita personal income (dollars) 2/,31270.0,32167.0,33623.0,34391.0,38395.0
" ""26005""","Allegan, MI",3.0,Per capita personal income (dollars) 2/,40788.0,42230.0,44303.0,45212.0,50120.0
" ""26007""","Alpena, MI",3.0,Per capita personal income (dollars) 2/,37212.0,38577.0,39251.0,40402.0,45014.0
" ""26009""","Antrim, MI",3.0,Per capita personal income (dollars) 2/,43145.0,44455.0,46050.0,48026.0,51945.0
" ""26011""","Arenac, MI",3.0,Per capita personal income (dollars) 2/,34392.0,35455.0,37002.0,39590.0,44537.0
" ""26013""","Baraga, MI",3.0,Per capita personal income (dollars) 2/,30666.0,31347.0,32310.0,34046.0,39256.0
" ""26015""","Barry, MI",3.0,Per capita personal income (dollars) 2/,41408.0,42170.0,43985.0,45521.0,49080.0
" ""26017""","Bay, MI",3.0,Per capita personal income (dollars) 2/,39041.0,39448.0,41712.0,42669.0,46668.0
" ""26019""","Benzie, MI",3.0,Per capita personal income (dollars) 2/,39953.0,41869.0,43373.0,45644.0,52227.0
" ""26021""","Berrien, MI",3.0,Per capita personal income (dollars) 2/,43671.0,44636.0,46881.0,49239.0,53954.0
" ""26023""","Branch, MI",3.0,Per capita personal income (dollars) 2/,32816.0,34251.0,35230.0,36049.0,40159.0
" ""26025""","Calhoun, MI",3.0,Per capita personal income (dollars) 2/,37374.0,37994.0,38854.0,40018.0,43929.0
" ""26027""","Cass, MI",3.0,Per capita personal income (dollars) 2/,40998.0,42440.0,44282.0,45044.0,50481.0
" ""26029""","Charlevoix, MI",3.0,Per capita personal income (dollars) 2/,47118.0,49036.0,51779.0,52913.0,58260.0
" ""26031""","Cheboygan, MI",3.0,Per capita personal income (dollars) 2/,35892.0,37263.0,38195.0,39974.0,45526.0
" ""26033""","Chippewa, MI",3.0,Per capita personal income (dollars) 2/,31376.0,32300.0,33523.0,34913.0,39613.0
" ""26035""","Clare, MI",3.0,Per capita personal income (dollars) 2/,32120.0,33059.0,34194.0,35016.0,39563.0
" ""26037""","Clinton, MI",3.0,Per capita personal income (dollars) 2/,43136.0,44355.0,45925.0,47548.0,51022.0
" ""26039""","Crawford, MI",3.0,Per capita personal income (dollars) 2/,33022.0,34118.0,36483.0,37004.0,41677.0
" ""26041""","Delta, MI",3.0,Per capita personal income (dollars) 2/,36142.0,37092.0,38192.0,39568.0,43599.0
" ""26043""","Dickinson, MI",3.0,Per capita personal income (dollars) 2/,42840.0,44805.0,46707.0,46238.0,50493.0
" ""26045""","Eaton, MI",3.0,Per capita personal income (dollars) 2/,39759.0,40904.0,42254.0,43536.0,47714.0
" ""26047""","Emmet, MI",3.0,Per capita personal income (dollars) 2/,51020.0,52466.0,54706.0,57299.0,62252.0
" ""26049""","Genesee, MI",3.0,Per capita personal income (dollars) 2/,37706.0,38729.0,40158.0,41656.0,45413.0
" ""26051""","Gladwin, MI",3.0,Per capita personal income (dollars) 2/,33514.0,35057.0,36449.0,38396.0,41743.0
" ""26053""","Gogebic, MI",3.0,Per capita personal income (dollars) 2/,36566.0,35859.0,38169.0,41816.0,45658.0
" ""26055""","Grand Traverse, MI",3.0,Per capita personal income (dollars) 2/,45087.0,47485.0,49329.0,51352.0,55872.0
" ""26057""","Gratiot, MI",3.0,Per capita personal income (dollars) 2/,33620.0,34369.0,35625.0,36073.0,41228.0
" ""26059""","Hillsdale, MI",3.0,Per capita personal income (dollars) 2/,33216.0,33733.0,35187.0,35742.0,39678.0
" ""26061""","Houghton, MI",3.0,Per capita personal income (dollars) 2/,33421.0,33737.0,35297.0,36675.0,39738.0
" ""26063""","Huron, MI",3.0,Per capita personal income (dollars) 2/,41268.0,42419.0,43828.0,44618.0,51548.0
" ""26065""","Ingham, MI",3.0,Per capita personal income (dollars) 2/,37695.0,38724.0,40275.0,41876.0,46392.0
" ""26067""","Ionia, MI",3.0,Per capita personal income (dollars) 2/,31055.0,32090.0,33626.0,34294.0,37982.0
" ""26069""","Iosco, MI",3.0,Per capita personal income (dollars) 2/,33926.0,35135.0,36422.0,39111.0,43735.0
" ""26071""","Iron, MI",3.0,Per capita personal income (dollars) 2/,40159.0,40992.0,41898.0,43820.0,46460.0
" ""26073""","Isabella, MI",3.0,Per capita personal income (dollars) 2/,34005.0,35107.0,36951.0,38754.0,43313.0
" ""26075""","Jackson, MI",3.0,Per capita personal income (dollars) 2/,36495.0,37110.0,38538.0,39418.0,43450.0
" ""26077""","Kalamazoo, MI",3.0,Per capita personal income (dollars) 2/,45469.0,46430.0,48346.0,50136.0,54892.0
" ""26079""","Kalkaska, MI",3.0,Per capita personal income (dollars) 2/,33219.0,33701.0,34925.0,36149.0,40485.0
" ""26081""","Kent, MI",3.0,Per capita personal income (dollars) 2/,49870.0,50040.0,52058.0,53808.0,59032.0
" ""26083""","Keweenaw, MI",3.0,Per capita personal income (dollars) 2/,43617.0,45655.0,47536.0,50131.0,54661.0
" ""26085""","Lake, MI",3.0,Per capita personal income (dollars) 2/,29255.0,29778.0,31739.0,32792.0,37828.0
" ""26087""","Lapeer, MI",3.0,Per capita personal income (dollars) 2/,39167.0,41136.0,42917.0,44073.0,48754.0
" ""26089""","Leelanau, MI",3.0,Per capita personal income (dollars) 2/,59473.0,61020.0,64576.0,68077.0,73107.0
" ""26091""","Lenawee, MI",3.0,Per capita personal income (dollars) 2/,36484.0,37025.0,38918.0,40110.0,44127.0
" ""26093""","Livingston, MI",3.0,Per capita personal income (dollars) 2/,53627.0,55642.0,57101.0,58607.0,62009.0
" ""26095""","Luce, MI",3.0,Per capita personal income (dollars) 2/,31539.0,32682.0,33985.0,35005.0,33556.0
" ""26097""","Mackinac, MI",3.0,Per capita personal income (dollars) 2/,40406.0,41492.0,42709.0,44022.0,49458.0
" ""26099""","Macomb, MI",3.0,Per capita personal income (dollars) 2/,42981.0,44011.0,45752.0,46887.0,51113.0
" ""26101""","Manistee, MI",3.0,Per capita personal income (dollars) 2/,36049.0,37166.0,38628.0,39603.0,43374.0
" ""26103""","Marquette, MI",3.0,Per capita personal income (dollars) 2/,36862.0,37456.0,38820.0,40021.0,44168.0
" ""26105""","Mason, MI",3.0,Per capita personal income (dollars) 2/,37752.0,38711.0,40234.0,41167.0,45611.0
" ""26107""","Mecosta, MI",3.0,Per capita personal income (dollars) 2/,32945.0,34742.0,35798.0,36886.0,40805.0
" ""26109""","Menominee, MI",3.0,Per capita personal income (dollars) 2/,38000.0,39858.0,41274.0,41152.0,44318.0
" ""26111""","Midland, MI",3.0,Per capita personal income (dollars) 2/,50967.0,57210.0,52997.0,54119.0,57467.0
