County,State,White_Non_Hispanic,Black,Native_American,Asian,Pacific_Islander,Some_Other_Race,Mixed,Hispanic
Muscogee,Georgia,79083,94701,488,5546,517,1076,8998,16513
Newton,Georgia,46746,52246,175,1044,114,734,4260,7164
Oconee,Georgia,33886,1897,31,2066,0,171,1401,2347
Oglethorpe,Georgia,10903,2248,40,134,5,53,573,869
Paulding,Georgia,108444,36609,394,1926,114,1068,7542,12564
Peach,Georgia,12119,12139,63,194,6,98,815,2547
Pickens,Georgia,30122,286,85,191,4,70,1260,1198
Pierce,Georgia,16403,1597,41,82,0,45,550,998
Pike,Georgia,16313,1445,28,77,0,62,616,348
Polk,Georgia,30161,5119,101,239,21,156,1471,5585
Pulaski,Georgia,6022,3161,8,92,3,48,194,327
Putnam,Georgia,14316,5385,33,108,1,40,607,1557
Quitman,Georgia,1190,917,13,12,0,9,63,31
Rabun,Georgia,14625,107,28,60,1,35,575,1452
Randolph,Georgia,2250,3862,9,21,3,23,114,143
Richmond,Georgia,68397,112947,511,3907,391,905,8100,11449
Rockdale,Georgia,24500,53785,168,1532,72,617,3356,9540
Schley,Georgia,3357,863,4,20,2,7,119,175
Screven,Georgia,8018,5285,39,61,3,31,343,287
Seminole,Georgia,5617,2961,6,61,0,25,249,228
Spalding,Georgia,37105,23148,154,640,23,247,2323,3666
Stephens,Georgia,21323,2936,73,225,9,76,1285,857
Stewart,Georgia,1338,2461,10,167,5,8,108,1217
Sumter,Georgia,11528,15051,40,503,4,55,665,1770
Talbot,Georgia,2427,3056,5,17,1,6,109,112
Taliaferro,Georgia,591,833,4,6,0,2,54,69
Tattnall,Georgia,13825,5961,36,127,6,46,538,2303
Taylor,Georgia,4584,2807,27,29,2,19,180,168
Telfair,Georgia,5970,4326,28,30,0,17,178,1928
Terrell,Georgia,3189,5540,11,57,1,11,199,177
Thomas,Georgia,25994,16259,150,406,9,124,1279,1577
Tift,Georgia,22189,12049,56,650,2,91,1088,5219
Toombs,Georgia,16007,6980,31,207,6,79,676,3044
Towns,Georgia,11469,124,28,81,3,35,338,415
Treutlen,Georgia,4065,1999,19,7,0,7,139,170
Troup,Georgia,38099,24157,127,1608,36,239,2204,2956
Turner,Georgia,4700,3644,7,49,0,25,209,372
Twiggs,Georgia,4487,3099,16,37,0,18,241,124
Union,Georgia,22646,126,74,100,0,63,807,816
Upson,Georgia,18009,7851,63,151,1,106,886,633
Walker,Georgia,59654,2840,149,293,25,204,2804,1685
Walton,Georgia,68499,17136,188,1409,44,552,3617,5228
Ware,Georgia,22275,10703,77,333,18,112,1121,1612
Warren,Georgia,1974,3047,18,15,1,10,97,53
Washington,Georgia,8412,10698,37,76,0,30,401,334
Wayne,Georgia,21301,5877,58,174,2,130,870,1732
Webster,Georgia,1136,1063,0,12,6,3,69,59
Wheeler,Georgia,4157,2875,9,17,0,6,135,272
White,Georgia,24959,467,105,159,0,116,1284,913
Whitfield,Georgia,57875,3553,182,1394,19,304,2621,36916
Wilcox,Georgia,5185,3096,3,49,3,9,149,272
