County,State,FIPS,Value (Percent),People (Education: At Least Bachelor's Degree),Rank within US (of 3143 counties)
TIOGA,Pennsylvania,42117.0,21.3,6285.0,"1,520"
WYOMING,Pennsylvania,42131.0,21.5,4058.0,"1,485"
LAWRENCE,Pennsylvania,42073.0,22.0,13617.0,"1,423"
CAMBRIA,Pennsylvania,42021.0,22.7,21729.0,"1,332"
CLARION,Pennsylvania,42031.0,22.7,5796.0,"1,327"
LEBANON,Pennsylvania,42075.0,22.9,22505.0,"1,306"
FRANKLIN,Pennsylvania,42055.0,23.0,25297.0,"1,293"
BLAIR,Pennsylvania,42013.0,23.4,20485.0,"1,234"
MERCER,Pennsylvania,42085.0,24.1,19021.0,"1,147"
LYCOMING,Pennsylvania,42081.0,24.4,19533.0,"1,114"
ADAMS,Pennsylvania,42001.0,24.4,17928.0,"1,112"
LUZERNE,Pennsylvania,42079.0,24.5,56755.0,"1,084"
UNION,Pennsylvania,42119.0,25.1,7277.0,"1,032"
COLUMBIA,Pennsylvania,42037.0,25.5,11084.0,"1,001"
INDIANA,Pennsylvania,42063.0,26.2,14253.0,935
YORK,Pennsylvania,42133.0,26.3,84214.0,924
MONROE,Pennsylvania,42089.0,26.6,31550.0,905
BEAVER,Pennsylvania,42007.0,26.8,32958.0,884
BERKS,Pennsylvania,42011.0,26.8,78363.0,880
PIKE,Pennsylvania,42103.0,27.4,12172.0,825
ERIE,Pennsylvania,42049.0,29.6,55198.0,690
LACKAWANNA,Pennsylvania,42069.0,29.9,45442.0,671
LANCASTER,Pennsylvania,42071.0,30.5,114403.0,633
WESTMORELAND,Pennsylvania,42129.0,31.2,82216.0,594
LEHIGH,Pennsylvania,42077.0,32.4,82539.0,522
WASHINGTON,Pennsylvania,42125.0,32.4,48994.0,518
NORTHAMPTON,Pennsylvania,42095.0,32.8,72290.0,489
DAUPHIN,Pennsylvania,42043.0,33.3,66041.0,468
PHILADELPHIA,Pennsylvania,42101.0,33.6,366310.0,455
MONTOUR,Pennsylvania,42093.0,36.4,4837.0,337
BUTLER,Pennsylvania,42019.0,38.3,53500.0,276
CUMBERLAND,Pennsylvania,42041.0,38.7,70365.0,266
DELAWARE,Pennsylvania,42045.0,40.9,160088.0,209
BUCKS,Pennsylvania,42017.0,43.3,200969.0,169
ALLEGHENY,Pennsylvania,42003.0,43.8,395708.0,159
CENTRE,Pennsylvania,42027.0,46.2,44903.0,124
MONTGOMERY,Pennsylvania,42091.0,51.4,310252.0,68
CLARK,Wisconsin,55019.0,13.1,2828.0,"2,853"
MARQUETTE,Wisconsin,55077.0,14.5,1695.0,"2,691"
ADAMS,Wisconsin,55001.0,15.6,2593.0,"2,507"
FOREST,Wisconsin,55041.0,15.7,1068.0,"2,489"
TAYLOR,Wisconsin,55119.0,15.8,2201.0,"2,469"
LANGLADE,Wisconsin,55067.0,15.8,2269.0,"2,468"
JACKSON,Wisconsin,55053.0,15.9,2368.0,"2,460"
PRICE,Wisconsin,55099.0,16.1,1723.0,"2,424"
JUNEAU,Wisconsin,55057.0,16.1,3175.0,"2,418"
WAUSHARA,Wisconsin,55137.0,16.5,3086.0,"2,358"
RUSK,Wisconsin,55107.0,17.1,1778.0,"2,263"
OCONTO,Wisconsin,55083.0,17.3,4991.0,"2,224"
CRAWFORD,Wisconsin,55023.0,17.5,2064.0,"2,195"
MARINETTE,Wisconsin,55075.0,17.9,5584.0,"2,137"
SHAWANO,Wisconsin,55115.0,18.2,5324.0,"2,082"
LINCOLN,Wisconsin,55069.0,18.8,4017.0,"1,953"
MENOMINEE,Wisconsin,55078.0,18.9,471.0,"1,928"
WAUPACA,Wisconsin,55135.0,19.5,7335.0,"1,836"
DODGE,Wisconsin,55027.0,19.6,12619.0,"1,818"
TREMPEALEAU,Wisconsin,55121.0,19.7,4087.0,"1,797"
LAFAYETTE,Wisconsin,55065.0,19.9,2260.0,"1,758"
RICHLAND,Wisconsin,55103.0,19.9,2459.0,"1,742"
MONROE,Wisconsin,55081.0,20.1,6275.0,"1,713"
KEWAUNEE,Wisconsin,55061.0,20.3,2971.0,"1,681"
ASHLAND,Wisconsin,55003.0,20.7,2302.0,"1,616"
BARRON,Wisconsin,55005.0,20.7,6892.0,"1,605"
BUFFALO,Wisconsin,55011.0,21.0,2047.0,"1,566"
WOOD,Wisconsin,55141.0,21.3,11288.0,"1,519"
BURNETT,Wisconsin,55013.0,22.1,2835.0,"1,414"
FOND DU LAC,Wisconsin,55039.0,22.3,16282.0,"1,386"
GREEN LAKE,Wisconsin,55047.0,22.4,3028.0,"1,365"
FLORENCE,Wisconsin,55037.0,22.5,812.0,"1,352"
POLK,Wisconsin,55095.0,22.8,7507.0,"1,325"
PEPIN,Wisconsin,55091.0,22.8,1204.0,"1,310"
MANITOWOC,Wisconsin,55071.0,23.1,13532.0,"1,277"
WASHBURN,Wisconsin,55129.0,23.1,2913.0,"1,274"
CHIPPEWA,Wisconsin,55017.0,23.2,10937.0,"1,265"
IRON,Wisconsin,55051.0,23.7,1172.0,"1,200"
COLUMBIA,Wisconsin,55021.0,24.2,10098.0,"1,140"
GRANT,Wisconsin,55043.0,24.2,7875.0,"1,135"
VERNON,Wisconsin,55123.0,24.3,5024.0,"1,122"
ROCK,Wisconsin,55105.0,24.4,27405.0,"1,111"
SAUK,Wisconsin,55111.0,25.2,11611.0,"1,023"
GREEN,Wisconsin,55045.0,26.1,6924.0,939
SHEBOYGAN,Wisconsin,55117.0,26.6,21885.0,900
SAWYER,Wisconsin,55113.0,26.9,3686.0,869
MARATHON,Wisconsin,55073.0,27.0,25985.0,857
ONEIDA,Wisconsin,55085.0,27.1,7873.0,851
DOUGLAS,Wisconsin,55031.0,27.2,8631.0,840
IOWA,Wisconsin,55049.0,27.8,4687.0,797
JEFFERSON,Wisconsin,55055.0,27.9,16580.0,786
RACINE,Wisconsin,55101.0,28.0,37807.0,779
DUNN,Wisconsin,55033.0,28.6,7995.0,744
VILAS,Wisconsin,55125.0,29.2,5289.0,711
WINNEBAGO,Wisconsin,55139.0,29.3,34052.0,707
KENOSHA,Wisconsin,55059.0,29.4,33693.0,702
WALWORTH,Wisconsin,55127.0,30.8,21725.0,613
PIERCE,Wisconsin,55093.0,31.0,8329.0,602
OUTAGAMIE,Wisconsin,55087.0,31.6,41054.0,576
CALUMET,Wisconsin,55015.0,31.7,11544.0,568
BROWN,Wisconsin,55009.0,31.7,57283.0,562
