County,White_Non_Hispanic,Black,Native_American,Asian,Pacific_Islander,Some_Other_Race,Mixed,Hispanic
"Meigs County, Ohio",21180,148,49,22,0,43,596,172
"Mercer County, Ohio",39752,191,63,189,564,78,763,928
"Miami County, Ohio",96964,2559,152,1644,21,483,4752,2199
"Monroe County, Ohio",12909,19,12,21,3,19,335,67
"Montgomery County, Ohio",360396,112818,937,12714,244,2588,26433,21179
"Morgan County, Ohio",12525,396,20,24,2,49,659,127
"Morrow County, Ohio",32773,153,56,90,8,93,1197,580
"Muskingum County, Ohio",76947,2985,138,384,8,378,4515,1055
"Noble County, Ohio",12840,752,31,22,0,11,286,173
"Ottawa County, Ohio",36436,335,47,157,6,92,1232,2059
"Paulding County, Ohio",16972,139,41,30,5,61,548,1010
"Perry County, Ohio",33595,90,94,67,0,85,1225,252
"Pickaway County, Ohio",52416,2143,131,296,11,153,2486,903
"Pike County, Ohio",25470,190,110,70,6,44,979,219
"Portage County, Ohio",138774,7934,233,3400,38,558,7349,3505
"Preble County, Ohio",38700,182,84,162,4,98,1383,386
"Putnam County, Ohio",31427,100,25,61,3,61,545,2229
"Richland County, Ohio",104231,11216,192,791,58,473,5360,2615
"Ross County, Ohio",67705,4005,189,369,20,196,3578,1031
"Sandusky County, Ohio",48219,1762,75,202,7,159,2417,6055
"Scioto County, Ohio",67531,2038,254,274,9,210,2640,1052
"Seneca County, Ohio",48213,1314,66,359,36,158,2024,2899
"Shelby County, Ohio",44067,839,81,450,29,188,1789,787
"Stark County, Ohio",310535,28723,721,3175,97,1651,19435,10516
"Summit County, Ohio",397536,78922,777,22506,149,2096,25236,13206
"Trumbull County, Ohio",169627,16940,249,1099,26,609,9248,4179
"Tuscarawas County, Ohio",84979,697,117,306,29,169,3004,3962
"Union County, Ohio",53287,1275,93,4043,0,201,2351,1534
"Van Wert County, Ohio",26467,257,37,88,13,79,893,1097
"Vinton County, Ohio",12213,43,19,22,0,14,405,84
"Warren County, Ohio",198227,8175,288,17278,158,704,9769,7738
